photo_id,species,marked,inat_url
53948037,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/53948037
10106537,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/10106537
23783305,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/23783305
242462892,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/242462892
122330436,Megaptera novaeangliae australis,1,https://www.inaturalist.org/photos/122330436
8533457,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/8533457
138127475,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/138127475
64084465,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/64084465
162130205,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/162130205
299293083,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/299293083
402958308,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/402958308
49327468,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/49327468
357812479,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/357812479
97435939,Megaptera novaeangliae australis,0,https://www.inaturalist.org/photos/97435939
103198518,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/103198518
12861014,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/12861014
88794857,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/88794857
411273162,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/411273162
438299509,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/438299509
279214135,Megaptera novaeangliae novaeangliae,1,https://www.inaturalist.org/photos/279214135
64084466,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/64084466
237093496,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/237093496
209200699,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/209200699
217817227,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/217817227
351954859,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/351954859
19269432,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/19269432
2562748,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/2562748
347326536,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/347326536
181351671,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/181351671
26077575,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/26077575
50530248,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/50530248
92221805,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/92221805
237194195,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/237194195
209820173,Megaptera novaeangliae novaeangliae,0,https://www.inaturalist.org/photos/209820173
49327463,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/49327463
317488189,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/317488189
314453326,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/314453326
53948039,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/53948039
302533741,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/302533741
127618134,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/127618134
417831402,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/417831402
16335779,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/16335779
193706743,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/193706743
69020732,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/69020732
5289064,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/5289064
408635531,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/408635531
76775727,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/76775727
295911261,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/295911261
52396599,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/52396599
197271936,Megaptera novaeangliae novaeangliae,1,https://www.inaturalist.org/photos/197271936
38892157,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/38892157
242385504,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/242385504
255691299,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/255691299
181351708,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/181351708
242385379,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/242385379
102989605,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/102989605
324656553,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/324656553
312506589,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/312506589
316996741,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/316996741
242878991,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/242878991
302039434,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/302039434
8533470,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/8533470
306931948,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/306931948
242089588,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/242089588
338915404,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/338915404
201704105,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/201704105
49106527,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/49106527
6743055,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/6743055
197272272,Megaptera novaeangliae novaeangliae,0,https://www.inaturalist.org/photos/197272272
196728076,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/196728076
324656317,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/324656317
49106441,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/49106441
44083325,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/44083325
230167275,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/230167275
133150276,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/133150276
25808313,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/25808313
443707328,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/443707328
242385420,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/242385420
58135421,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/58135421
173435914,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/173435914
402935974,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/402935974
253844240,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/253844240
197132628,Megaptera novaeangliae novaeangliae,1,https://www.inaturalist.org/photos/197132628
201703028,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/201703028
42744237,Megaptera novaeangliae kuzira,0,https://www.inaturalist.org/photos/42744237
197124017,Megaptera novaeangliae novaeangliae,1,https://www.inaturalist.org/photos/197124017
408994956,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/408994956
87761349,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/87761349
345466477,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/345466477
149021093,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/149021093
324627676,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/324627676
295512582,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/295512582
12740124,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/12740124
399626468,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/399626468
148342618,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/148342618
427020471,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/427020471
327225531,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/327225531
358054316,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/358054316
47180590,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/47180590
394125881,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/394125881
155958369,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/155958369
31660228,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/31660228
158479068,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/158479068
427659610,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/427659610
435603898,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/435603898
137172635,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/137172635
43994072,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/43994072
7535549,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/7535549
68556724,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/68556724
154509317,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/154509317
417831971,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/417831971
238223549,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/238223549
168045431,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/168045431
148635887,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/148635887
216215547,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/216215547
399650980,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/399650980
233153456,Megaptera novaeangliae australis,0,https://www.inaturalist.org/photos/233153456
338139019,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/338139019
68170927,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/68170927
474661,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/474661
248117322,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/248117322
324627650,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/324627650
323349057,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/323349057
279214156,Megaptera novaeangliae novaeangliae,1,https://www.inaturalist.org/photos/279214156
191637854,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/191637854
232490651,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/232490651
30540184,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/30540184
431349707,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/431349707
413070282,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/413070282
7535543,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/7535543
239411,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/239411
307556785,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/307556785
411834333,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/411834333
233152767,Megaptera novaeangliae australis,0,https://www.inaturalist.org/photos/233152767
26077591,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/26077591
386301885,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/386301885
412948253,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/412948253
242549577,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/242549577
158478940,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/158478940
324827094,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/324827094
426936663,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/426936663
101669463,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/101669463
31660240,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/31660240
227052902,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/227052902
158478975,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/158478975
42972893,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/42972893
148342705,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/148342705
155988192,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/155988192
92221803,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/92221803
390183117,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/390183117
168218838,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/168218838
201708172,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/201708172
366842408,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/366842408
16335765,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/16335765
7535547,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/7535547
87761745,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/87761745
217789277,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/217789277
237934796,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/237934796
207001521,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/207001521
145273260,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/145273260
249771527,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/249771527
69470728,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/69470728
197272854,Megaptera novaeangliae novaeangliae,1,https://www.inaturalist.org/photos/197272854
237093485,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/237093485
347913899,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/347913899
322617846,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/322617846
5026362,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/5026362
2562760,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/2562760
385772384,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/385772384
368935253,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/368935253
104645262,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/104645262
175619399,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/175619399
18695138,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/18695138
149021114,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/149021114
197272437,Megaptera novaeangliae novaeangliae,1,https://www.inaturalist.org/photos/197272437
146527190,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/146527190
236202262,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/236202262
429710663,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/429710663
218631428,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/218631428
179777375,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/179777375
179777344,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/179777344
415993553,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/415993553
243680077,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/243680077
154509320,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/154509320
429656470,Megaptera novaeangliae novaeangliae,1,https://www.inaturalist.org/photos/429656470
211310484,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/211310484
54750364,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/54750364
11227604,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/11227604
260056458,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/260056458
57436627,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/57436627
111052453,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/111052453
242879210,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/242879210
237934923,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/237934923
168045448,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/168045448
407026517,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/407026517
122329704,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/122329704
25128302,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/25128302
308079422,Megaptera novaeangliae,0,https://www.inaturalist.org/photos/308079422
324827512,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/324827512
44982644,Megaptera novaeangliae,1,https://www.inaturalist.org/photos/44982644
